CellId, SiteId, PCI, EARFCN, PlanFlag
LF31G83C,LDF31G83-F38400,294,38400,1
LF31G84A,LF31G84-F38400,202,38400,0
LF31G84B,LF31G84-F38400,203,38400,0
LF31G84C,LF31G84-F38400,201,38400,0
LF31G86A,LF31G86-F38400,488,38400,0
LF31G86B,LF31G86-F38400,486,38400,0
LF31G86C,LF31G86-F38400,487,38400,0
LD31G87A,LD31G87-F37900,10,37900,0
LD31G87B,LD31G87-F37900,11,37900,0
LF31G87A,LF31G87-F38400,209,38400,0
LF31G87B,LF31G87-F38400,208,38400,0
LF31G88A,LF31G88-F38400,300,38400,0
LF31G88B,LF31G88-F38400,302,38400,0
LF31G88C,LF31G88-F38400,301,38400,0
LD31G89A,LD31G89-F37900,226,37900,0
LD31G89B,LD31G89-F38098,225,38098,0
LD31G89C,LD31G89-F37900,227,37900,0
LF31G89A,LF31G89-F38400,409,38400,0
LF31G89B,LF31G89-F38400,410,38400,0
LF31G89C,LF31G89-F38400,408,38400,0
LD31G90A,LDF31G90-F37900,318,37900,0
LD31G90B,LDF31G90-F37900,320,37900,0
LD31G90C,LDF31G90-F37900,319,37900,0
LF31G90A,LDF31G90-F38400,45,38400,0
LF31G90B,LDF31G90-F38400,47,38400,0
LF31G90C,LDF31G90-F38400,46,38400,0
LF31G91A,LF31G91-F38400,501,38400,0
LF31G91B,LF31G91-F38400,502,38400,0
LF31G91C,LF31G91-F38400,503,38400,0
LF31G92A,LF31G92-F38355,24,38355,0
LF31G92B,LF31G92-F38400,25,38400,0
LF31G92C,LF31G92-F38400,26,38400,0
LD31G93A,LD31G93-F37900,0,37900,0
LD31G93B,LD31G93-F37900,1,37900,0
LD31G93D,LD31G93-F38098,3,38098,0
LD31G93E,LD31G93-F38098,4,38098,0
LF31G93A,LF31G93-F38400,60,38400,0
LF31G93B,LF31G93-F38400,62,38400,0
LF31G93C,LF31G93-F38400,61,38400,0
LF31G94A,LF31G94-F38400,33,38400,0
LF31G94B,LF31G94-F38400,34,38400,0
LF31G94C,LF31G94-F38400,35,38400,0
LF31G95A,LF31G95-F38400,45,38400,0
LF31G95B,LF31G95-F38400,46,38400,0
LF31G95C,LF31G95-F38400,47,38400,0
LD31G96A,LD31G96-F37900,6,37900,0
LD31G96B,LD31G96-F37900,7,37900,0
LD31G96D,LD31G96-F38098,9,38098,0
LD31G96E,LD31G96-F38098,10,38098,0
LF31G96A,LF31G96-F38400,81,38400,0
LF31G96B,LF31G96-F38400,82,38400,0
LF31G96C,LF31G96-F38400,83,38400,0
LF31G98A,LF31G98-F38400,27,38400,0
LF31G98B,LF31G98-F38400,28,38400,0
LF31G98C,LF31G98-F38400,29,38400,0
LF31G99A,LF31G99-F38400,300,38400,0
LF31G99B,LF31G99-F38400,301,38400,0
LF31G99C,LF31G99-F38400,302,38400,0
LD31H01A,LD31H01-F37900,315,37900,0
LD31H01B,LD31H01-F37900,316,37900,0
LD31H01C,LD31H01-F37900,317,37900,0
LD31H01D,LD31H01-F38098,498,38098,0
LD31H01E,LD31H01-F38098,499,38098,0
LD31H01F,LD31H01-F38098,500,38098,0
LF31H01A,LF31H01-F38400,304,38400,0
LF31H01B,LF31H01-F38400,305,38400,0
LF31H01C,LF31H01-F38400,303,38400,0
LF31H01E,LF31H01-F38544,99,38544,0
LF31H02A,LF31H02-F38400,252,38400,0
LF31H02B,LF31H02-F38400,253,38400,0
LF31H02C,LF31H02-F38400,254,38400,0
LF31H04A,LF31H04-F38400,198,38400,0
LF31H04B,LF31H04-F38400,200,38400,0
LF31H04C,LF31H04-F38400,199,38400,0
LD31H05A,LDF31H05-F38098,164,38098,0
LD31H05B,LDF31H05-F38098,163,38098,0
LD31H05C,LDF31H05-F38098,162,38098,0
LF31H05A,LDF31H05-F38400,302,38400,0
LF31H05B,LDF31H05-F38400,300,38400,0
LF31H05C,LDF31H05-F38400,301,38400,0
LD31H06A,LD31H06-F37900,349,37900,0
LD31H06B,LD31H06-F37900,348,37900,0
LD31H06C,LD31H06-F37900,350,37900,0
LD31H07A,LDF31H07-F37900,123,37900,1
LD31H07B,LDF31H07-F37900,124,37900,1
LD31H07C,LDF31H07-F37900,125,37900,1
LF31H07A,LDF31H07-F38400,411,38400,1
LF31H07B,LDF31H07-F38400,413,38400,1
LF31H07C,LDF31H07-F38400,412,38400,1
LD31H09A,LDF31H09-F37900,52,37900,1
LD31H09B,LDF31H09-F37900,51,37900,1
LD31H09C,LDF31H09-F37900,53,37900,1
LF31H09A,LDF31H09-F38400,138,38400,1
LF31H09B,LDF31H09-F38400,140,38400,1
LF31H09C,LDF31H09-F38400,139,38400,1
LF31H10A,LF31H10-F38400,372,38400,0
LF31H10B,LF31H10-F38400,374,38400,0
LF31H10C,LF31H10-F38400,373,38400,0
LD31H11A,LDF31H11-F37900,194,37900,0
